Funcion,Blo,Bup,Max evals,Tamaño,Dimension,Omega,Phip,Phig,Lr,Tiempo,Mejor sol
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.045542001724243164,-0.9969714520245884
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04396176338195801,-0.9999889248904628
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.047403573989868164,-0.9995783352038866
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04401659965515137,-0.9998924401256547
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.047237396240234375,-0.99947917334554
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.045867919921875,-0.9994565506526814
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04551959037780762,-0.9924981481821069
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04322338104248047,-0.9989042354472959
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.045722246170043945,-0.9992544873348737
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04447007179260254,-0.9996016470877079
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.045877695083618164,-0.9989973839837305
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04367876052856445,-0.9994820095823693
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.047760009765625,-0.9999453121127413
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.044347286224365234,-0.9992631297021473
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.5,0.04631686210632324,-0.9894468340482355
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.5,0.04552412033081055,-0.9989329523525402
a,0.0,5.0,30,50,2,0.5,0.3,0.7,0.7,0.046979427337646484,-0.9989362397912039
a,0.0,5.0,30,50,2,0.7,0.3,0.7,0.7,0.04430508613586426,-0.9996786821779551
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.5,0.04044222831726074,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.5,0.04099893569946289,-1.9998905740274266
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.7,0.03915905952453613,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.7,0.041068315505981445,-1.999995985414793
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.5,0.04569602012634277,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.5,0.0439906120300293,-1.999978261132524
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.7,0.05108332633972168,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.7,0.03874993324279785,-1.9998905740274266
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.5,0.04132342338562012,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.5,0.040706634521484375,-1.9998905740274266
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.7,0.040483951568603516,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.7,0.040847063064575195,-1.9999958351290221
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.5,0.04124736785888672,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.5,0.03938937187194824,-1.9998905740274266
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.7,0.03964638710021973,-1.9999828449319366
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.7,0.04144716262817383,-1.999969599177044
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.5,0.041445016860961914,-1.9998905740274266
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.5,0.0401458740234375,-1.9999802920608305
b,0.0,20.0,30,50,2,0.5,0.3,0.7,0.7,0.04134511947631836,-1.999911876541951
b,0.0,20.0,30,50,2,0.7,0.3,0.7,0.7,0.04193615913391113,-1.9998905740274266
